PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,taxi_demand
2.40965730365333,0.5453633894255036,-3.2887115561251474,0.8612520961839778,-0.9836968095224257,-0.0962527538079738,2.475748064478834,-0.7304811331494898,-0.9250761277775552,0.7177916277146585,5301
2.344652590380563,0.544237229324779,-3.3442796557282155,1.162524415896055,-0.9833562512441765,-0.0964020869580828,2.4737285723810003,-0.7374795392088969,-0.9359432326746756,0.7397554465702052,5555
2.4637020442024795,0.5366850662899676,-3.32852161423039,1.0502662355741192,-1.0037923960213582,-0.04746848629237018,2.488985833766175,-0.7301039330573651,-0.9370951022499049,0.7169287950823,5402
2.411698296283839,0.5291444854870253,-3.360304231467922,1.2534023431146732,-1.0251748311532407,0.012395497532446433,2.489478344009831,-0.7229075291407486,-0.938114761010474,0.6879460215692552,4872
0.014315575530651872,0.5431296909264061,-3.6368720989386545,1.7911540753714914,-1.030720544541041,0.13253696684582877,2.6350549151005977,-0.6332257336029465,-0.9719354633082254,0.795555226357747,3889
-0.4054161468174991,0.5597620483924267,-3.67737961679213,1.6342629254166996,-1.0220335634331936,0.10397611448043045,2.6728536525237865,-0.6441355397261026,-0.9977989032850169,0.8462376650292658,2823
-0.7754989414286414,0.5779758558161313,-3.6823278279871983,1.245972216079979,-1.0124296662968857,0.06903110166501927,2.718529033064603,-0.6542784290593042,-1.0223123531461182,0.8971025306022959,1836
-1.0741994740830767,0.5898631461558496,-3.6870011131480966,1.078335358047816,-1.0047872553921886,0.046306867391989005,2.7358610630970417,-0.6620418608575847,-1.0353480311452408,0.9270787195102432,1182
-1.2662342178043922,0.6010948338385746,-3.654020358647299,0.7869684592298977,-0.9925066159035032,0.010037330397480261,2.745296386276785,-0.6706028833647313,-1.042122107519864,0.9561876300315635,718
-1.4151539651512106,0.597343624656435,-3.627493654304732,0.8261498511819078,-1.006916114952741,0.05792488905365371,2.7214362743987777,-0.6618869268128311,-1.0276857235513424,0.908059063670873,453
